Dates,fit
2007-01,9.95
2007-02,10.06
2007-03,9.97
2007-04,9.76
2007-05,9.05
2007-06,8.86
2007-07,8.99
2007-08,9.58
2007-09,9.44
2007-10,9.18
2007-11,9.83
2007-12,9.79
2008-01,9.93
2008-02,10
2008-03,10.87
2008-04,12.37
2008-05,12.7
2008-06,13.23
2008-07,12.53
2008-08,11.76
2008-09,12.72
2008-10,15.91
2008-11,16.08
2008-12,12.91
2009-01,11.86
2009-02,12.92
2009-03,13.16
2009-04,12.02
2009-05,11.34
2009-06,10.88
2009-07,10.42
2009-08,10.53
2009-09,10.36
2009-10,9.98
2009-11,10.23
2009-12,10.03
2010-01,9.67
2010-02,9.8
2010-03,9.31
2010-04,8.75
2010-05,8.94
2010-06,8.49
2010-07,8.19
2010-08,8.02
2010-09,7.92
2010-10,7.24
2010-11,7.45
2010-12,7.59
2011-01,8.41
2011-02,8.84
2011-03,8.31
2011-04,7.76
2011-05,7.55
2011-06,7.44
2011-07,7.25
2011-08,6.85
2011-09,6.98
2011-10,6.5
2011-11,6.37
2011-12,6.11
2012-01,5.86
2012-02,5.26
2012-03,5.81
2012-04,5.91
2012-05,6.32
2012-06,6.33
2012-07,5.88
2012-08,5.89
2012-09,5.94
2012-10,5.77
2012-11,5.45
2012-12,5.23
2013-01,5.17
2013-02,5.24
2013-03,5.41
2013-04,5.48
2013-05,5.62
2013-06,6.57
2013-07,7.74
2013-08,8.04
2013-09,8.32
2013-10,7.61
2013-11,8.24
2013-12,8.49
2014-01,8.71
2014-02,8.64
2014-03,8.02
2014-04,7.87
2014-05,7.97
2014-06,8.06
2014-07,8.04
2014-08,8.2
2014-09,8.16
2014-10,8.21
2014-11,7.85
2014-12,7.94
2015-01,7.6
2015-02,7.18
2015-03,7.36
2015-04,7.42
2015-05,8.01
2015-06,8.42
2015-07,8.29
2015-08,8.66
2015-09,9.21
2015-10,8.75
2015-11,8.62
2015-12,8.65
2016-01,8.56
2016-02,8.06
2016-03,7.79
2016-04,7.51
2016-05,7.76
2016-06,7.62
2016-07,7.06
2016-08,6.9
2016-09,6.93
2016-10,7.06
2016-11,7.7
2016-12,7.84
2017-01,7.6
2017-02,7.53
2017-03,7.38
